cell_id,Megascops roraimae,Megascops roraimae roraimae,Megascops roraimae [napensis Group]
845f00bffffffff,10.0,0.0,0.0
845f035ffffffff,46.0,0.0,0.0
845f129ffffffff,5.0,0.0,0.0
845f12bffffffff,1.0,1.0,0.0
845f711ffffffff,14.0,8.0,0.0
845f713ffffffff,3.0,0.0,0.0
845f71bffffffff,2.0,0.0,0.0
845f759ffffffff,1.0,0.0,0.0
84660ddffffffff,1.0,0.0,0.0
84662d3ffffffff,1.0,0.0,0.0
84666e3ffffffff,1.0,0.0,0.0
84666ebffffffff,2.0,0.0,0.0
8466c21ffffffff,2.0,0.0,2.0
8466c27ffffffff,3.0,0.0,0.0
8466c29ffffffff,2.0,0.0,0.0
8466c2dffffffff,6.0,0.0,3.0
8466c67ffffffff,2.0,0.0,2.0
8466d13ffffffff,1.0,0.0,0.0
8466d1bffffffff,99.0,0.0,35.0
8466da7ffffffff,4.0,0.0,0.0
8466da9ffffffff,4.0,0.0,3.0
8466dadffffffff,29.0,0.0,8.0
8466de1ffffffff,258.0,0.0,82.0
8466debffffffff,45.0,0.0,23.0
8467423ffffffff,2.0,0.0,0.0
8467433ffffffff,2.0,0.0,0.0
8467437ffffffff,67.0,0.0,3.0
846743bffffffff,2.0,0.0,0.0
84674cdffffffff,1.0,0.0,0.0
84674ebffffffff,8.0,0.0,0.0
84674edffffffff,22.0,0.0,0.0
84675c1ffffffff,9.0,0.0,0.0
84675c9ffffffff,3.0,0.0,0.0
84675cbffffffff,4.0,0.0,0.0
848b617ffffffff,1.0,0.0,0.0
848b743ffffffff,1.0,0.0,0.0
848b747ffffffff,1.0,0.0,0.0
848f401ffffffff,4.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f42dffffffff,1.0,0.0,0.0
848f439ffffffff,81.0,0.0,9.0
848f461ffffffff,2.0,0.0,2.0
848f463ffffffff,55.0,0.0,10.0
848f487ffffffff,4.0,0.0,0.0
848f4e5ffffffff,1.0,0.0,0.0
848f5d9ffffffff,3.0,0.0,0.0
848f5ddffffffff,8.0,0.0,0.0
848f763ffffffff,1.0,0.0,0.0
