cell_id,Galbula albirostris,Galbula albirostris albirostris,Galbula albirostris chalcocephala
845f00dffffffff,1.0,0.0,0.0
845f03bffffffff,1.0,0.0,0.0
845f03dffffffff,49.0,0.0,0.0
845f091ffffffff,1.0,0.0,0.0
845f107ffffffff,4.0,0.0,0.0
845f11bffffffff,1.0,0.0,0.0
845f129ffffffff,1.0,0.0,0.0
845f13dffffffff,2.0,0.0,0.0
845f143ffffffff,6.0,0.0,0.0
845f161ffffffff,8.0,0.0,0.0
845f163ffffffff,3.0,0.0,0.0
845f29dffffffff,3.0,0.0,0.0
845f2b1ffffffff,2.0,0.0,0.0
845f2b3ffffffff,72.0,0.0,0.0
845f2bbffffffff,14.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0
845f42bffffffff,2.0,0.0,0.0
845f549ffffffff,16.0,0.0,0.0
845f683ffffffff,6.0,0.0,0.0
845f713ffffffff,10.0,0.0,0.0
845f759ffffffff,2.0,0.0,0.0
845f767ffffffff,1.0,0.0,0.0
8466411ffffffff,2.0,0.0,0.0
846641dffffffff,1.0,0.0,0.0
84664e9ffffffff,2.0,0.0,0.0
84665a3ffffffff,1.0,0.0,0.0
84665a7ffffffff,2.0,0.0,0.0
84665abffffffff,66.0,1.0,0.0
84665bdffffffff,175.0,0.0,1.0
84666e3ffffffff,1.0,0.0,0.0
8466c23ffffffff,13.0,0.0,0.0
8466c53ffffffff,5.0,0.0,0.0
8466c57ffffffff,8.0,0.0,0.0
8466ce9ffffffff,3.0,0.0,0.0
8466d81ffffffff,57.0,0.0,5.0
8466d89ffffffff,3.0,0.0,0.0
8466d8dffffffff,1.0,0.0,0.0
8466db1ffffffff,3.0,0.0,0.0
8466dc3ffffffff,76.0,0.0,3.0
8466dc7ffffffff,6.0,0.0,0.0
8466dcbffffffff,5.0,0.0,0.0
8466dd1ffffffff,3.0,0.0,0.0
8466dd3ffffffff,6.0,0.0,0.0
8466dd5ffffffff,11.0,0.0,0.0
8466ddbffffffff,2.0,0.0,2.0
8466dddffffffff,3.0,0.0,0.0
8466de3ffffffff,32.0,0.0,2.0
8466debffffffff,3.0,0.0,0.0
8466e33ffffffff,2.0,0.0,0.0
8466e9dffffffff,5.0,0.0,0.0
8466eadffffffff,8.0,0.0,0.0
8466ec7ffffffff,2.0,0.0,0.0
8466ee5ffffffff,8.0,0.0,0.0
8466ee7ffffffff,7.0,0.0,0.0
8466eebffffffff,2.0,0.0,0.0
8466eedffffffff,4.0,0.0,0.0
848068bffffffff,1.0,0.0,0.0
84806b3ffffffff,1.0,0.0,0.0
84806b7ffffffff,1.0,0.0,0.0
848a451ffffffff,2.0,0.0,0.0
848a459ffffffff,7.0,0.0,0.0
848a45bffffffff,4.0,0.0,0.0
848a45dffffffff,38.0,0.0,0.0
848a68bffffffff,4.0,0.0,0.0
848a699ffffffff,55.0,0.0,0.0
848a6b5ffffffff,1.0,0.0,0.0
848a6dbffffffff,19.0,0.0,0.0
848a809ffffffff,1.0,0.0,0.0
848a8d9ffffffff,2.0,0.0,0.0
848a8ddffffffff,2.0,2.0,0.0
848a9d3ffffffff,1.0,0.0,0.0
848ad13ffffffff,5.0,0.0,0.0
848af09ffffffff,20.0,0.0,0.0
848af0bffffffff,1.0,0.0,0.0
848af0dffffffff,2.0,0.0,0.0
848af29ffffffff,87.0,6.0,0.0
848af2bffffffff,2.0,0.0,0.0
848af2dffffffff,23.0,2.0,0.0
848af41ffffffff,11.0,2.0,0.0
848af45ffffffff,3.0,0.0,0.0
848af47ffffffff,2.0,0.0,0.0
848af61ffffffff,52.0,3.0,0.0
848af63ffffffff,164.0,10.0,0.0
848af67ffffffff,177.0,4.0,0.0
848af6bffffffff,20.0,0.0,0.0
848b5cdffffffff,1.0,0.0,0.0
848f401ffffffff,27.0,0.0,0.0
848f409ffffffff,2.0,0.0,0.0
848f411ffffffff,1.0,0.0,0.0
848f44bffffffff,3.0,0.0,0.0
848f455ffffffff,1.0,0.0,0.0
848f48dffffffff,1.0,0.0,0.0
848f60dffffffff,1.0,0.0,0.0
848f611ffffffff,8.0,0.0,0.0
848f613ffffffff,1.0,0.0,0.0
848f619ffffffff,2.0,0.0,0.0
848f61bffffffff,38.0,0.0,0.0
848f6c9ffffffff,1.0,0.0,0.0
848f71bffffffff,13.0,0.0,0.0
848f71dffffffff,3.0,0.0,0.0
848f74bffffffff,7.0,0.0,0.0
