cell_id,Pernis ptilorhynchus,Pernis ptilorhynchus orientalis,Pernis ptilorhynchus ruficollis/philippensis,Pernis ptilorhynchus [ptilorhynchus Group]
830a91fffffffff,2.0,2.0,0.0,0.0
83148cfffffffff,4.0,0.0,0.0,0.0
83149efffffffff,2.0,0.0,0.0,0.0
8314aefffffffff,18.0,0.0,0.0,0.0
831588fffffffff,2.0,0.0,0.0,0.0
83158afffffffff,2.0,0.0,0.0,0.0
831598fffffffff,5.0,0.0,0.0,0.0
83200afffffffff,12.0,6.0,0.0,0.0
83200efffffffff,2.0,0.0,0.0,0.0
832019fffffffff,3.0,0.0,0.0,0.0
83201afffffffff,3.0,0.0,0.0,0.0
832033fffffffff,1.0,1.0,0.0,0.0
83204bfffffffff,1.0,0.0,0.0,0.0
83205bfffffffff,2.0,0.0,0.0,0.0
83206bfffffffff,2.0,2.0,0.0,0.0
832099fffffffff,1.0,0.0,0.0,0.0
83209afffffffff,37.0,0.0,0.0,0.0
8320e0fffffffff,6.0,0.0,0.0,0.0
8320e6fffffffff,6.0,2.0,0.0,0.0
8320f5fffffffff,2.0,0.0,0.0,0.0
832404fffffffff,4.0,0.0,0.0,0.0
832423fffffffff,1.0,0.0,0.0,0.0
83242cfffffffff,2.0,0.0,0.0,0.0
83242efffffffff,2.0,0.0,0.0,0.0
832431fffffffff,1.0,0.0,0.0,0.0
832450fffffffff,5.0,0.0,0.0,0.0
832451fffffffff,4.0,0.0,0.0,0.0
832452fffffffff,14.0,0.0,0.0,0.0
832456fffffffff,1.0,0.0,0.0,0.0
832462fffffffff,3.0,0.0,0.0,0.0
83246dfffffffff,1.0,0.0,0.0,0.0
832488fffffffff,2.0,0.0,0.0,0.0
83248bfffffffff,2.0,0.0,0.0,0.0
8324e5fffffffff,2.0,0.0,0.0,0.0
832513fffffffff,2.0,0.0,0.0,0.0
83251dfffffffff,2.0,0.0,0.0,0.0
832540fffffffff,10.0,0.0,0.0,0.0
832546fffffffff,13.0,1.0,0.0,0.0
83255afffffffff,2.0,0.0,0.0,0.0
83255bfffffffff,1.0,0.0,0.0,0.0
832573fffffffff,1.0,0.0,0.0,0.0
8325a4fffffffff,2.0,0.0,0.0,0.0
8325acfffffffff,8.0,0.0,0.0,0.0
8325b0fffffffff,2.0,0.0,0.0,0.0
8325b4fffffffff,2.0,2.0,0.0,0.0
832c21fffffffff,1.0,0.0,0.0,0.0
832c90fffffffff,7.0,0.0,0.0,0.0
832c91fffffffff,5.0,0.0,0.0,0.0
832c93fffffffff,49.0,1.0,0.0,0.0
