cell_id,Dumetia atriceps,Dumetia atriceps atriceps,Dumetia atriceps bourdilloni,Dumetia atriceps siccata,Dumetia atriceps nigrifrons
8460025ffffffff,142.0,0.0,0.0,0.0,0.0
846002dffffffff,29.0,0.0,0.0,0.0,0.0
8460061ffffffff,2.0,0.0,0.0,0.0,0.0
8460065ffffffff,432.0,0.0,0.0,0.0,0.0
8460067ffffffff,98.0,0.0,0.0,0.0,0.0
846006dffffffff,81.0,0.0,0.0,0.0,0.0
8460111ffffffff,61.0,0.0,0.0,0.0,0.0
8460113ffffffff,16.0,0.0,0.0,0.0,0.0
8460115ffffffff,55.0,0.0,0.0,0.0,0.0
8460117ffffffff,230.0,0.0,0.0,0.0,0.0
8460119ffffffff,122.0,0.0,0.0,0.0,0.0
846011bffffffff,123.0,0.0,0.0,0.0,0.0
846011dffffffff,196.0,0.0,0.0,0.0,0.0
8460131ffffffff,31.0,0.0,0.0,0.0,0.0
8460133ffffffff,4.0,0.0,0.0,0.0,0.0
8460139ffffffff,45.0,0.0,0.0,0.0,0.0
846013bffffffff,10.0,0.0,0.0,0.0,0.0
8460151ffffffff,25.0,0.0,0.0,0.0,0.0
8460153ffffffff,333.0,0.0,0.0,0.0,0.0
8460157ffffffff,22.0,0.0,0.0,0.0,0.0
8460159ffffffff,30.0,0.0,0.0,0.0,0.0
846015bffffffff,359.0,0.0,0.0,0.0,0.0
84601e5ffffffff,102.0,0.0,0.0,0.0,0.0
84601e9ffffffff,911.0,0.0,0.0,0.0,0.0
84601edffffffff,193.0,0.0,0.0,0.0,0.0
8460225ffffffff,48.0,0.0,0.0,0.0,0.0
846022dffffffff,178.0,0.0,0.0,0.0,0.0
8460261ffffffff,106.0,0.0,0.0,0.0,0.0
8460267ffffffff,279.0,0.0,0.0,0.0,0.0
846030bffffffff,4.0,0.0,0.0,0.0,0.0
8460311ffffffff,616.0,0.0,0.0,0.0,0.0
8460313ffffffff,35.0,0.0,0.0,0.0,0.0
8460315ffffffff,7.0,0.0,0.0,0.0,0.0
8460317ffffffff,34.0,0.0,0.0,0.0,0.0
8460319ffffffff,590.0,0.0,6.0,0.0,0.0
846031bffffffff,155.0,0.0,1.0,0.0,0.0
846031dffffffff,259.0,0.0,0.0,0.0,0.0
8460331ffffffff,33.0,0.0,0.0,0.0,0.0
8460333ffffffff,75.0,0.0,0.0,0.0,0.0
8460335ffffffff,4.0,0.0,0.0,0.0,0.0
846033bffffffff,164.0,0.0,0.0,0.0,0.0
8460351ffffffff,73.0,0.0,0.0,0.0,0.0
8460353ffffffff,276.0,0.0,0.0,0.0,0.0
8460357ffffffff,3.0,0.0,0.0,0.0,0.0
846035bffffffff,211.0,0.0,0.0,0.0,0.0
8460a83ffffffff,9.0,0.0,0.0,0.0,0.0
8460a8bffffffff,2.0,0.0,0.0,0.0,0.0
8460a91ffffffff,370.0,0.0,0.0,0.0,0.0
8460a95ffffffff,67.0,0.0,0.0,0.0,0.0
8460a99ffffffff,280.0,0.0,0.0,0.0,0.0
8460a9dffffffff,352.0,0.0,0.0,0.0,0.0
8460ad1ffffffff,21.0,0.0,0.0,0.0,0.0
8460ad3ffffffff,72.0,0.0,0.0,0.0,0.0
8460ad7ffffffff,468.0,0.0,0.0,0.0,0.0
8460ad9ffffffff,34.0,0.0,0.0,0.0,0.0
8460adbffffffff,42.0,0.0,0.0,0.0,0.0
8461007ffffffff,5.0,0.0,0.0,0.0,0.0
8461021ffffffff,49.0,0.0,0.0,3.0,0.0
8461023ffffffff,438.0,0.0,0.0,3.0,8.0
8461025ffffffff,155.0,0.0,0.0,7.0,1.0
8461027ffffffff,149.0,0.0,0.0,3.0,5.0
8461029ffffffff,4.0,0.0,0.0,0.0,0.0
846102bffffffff,124.0,0.0,0.0,0.0,3.0
846102dffffffff,1.0,0.0,0.0,0.0,0.0
846103dffffffff,29.0,0.0,0.0,0.0,4.0
8461067ffffffff,1.0,0.0,0.0,0.0,0.0
8461113ffffffff,32.0,0.0,0.0,0.0,0.0
8461117ffffffff,40.0,0.0,0.0,0.0,0.0
8461119ffffffff,29.0,0.0,0.0,0.0,0.0
846111bffffffff,29.0,0.0,0.0,0.0,0.0
8461157ffffffff,3.0,0.0,0.0,0.0,0.0
84611c1ffffffff,14.0,0.0,0.0,0.0,0.0
84611c9ffffffff,15.0,0.0,0.0,0.0,0.0
84611cbffffffff,2.0,0.0,0.0,0.0,0.0
84611cdffffffff,4.0,0.0,0.0,0.0,0.0
84611e1ffffffff,31.0,0.0,0.0,2.0,0.0
84611e3ffffffff,1.0,0.0,0.0,0.0,0.0
84611e7ffffffff,1.0,0.0,0.0,1.0,0.0
84611ebffffffff,6.0,0.0,0.0,0.0,0.0
