cell_id,Hirundo rustica,Hirundo rustica rustica,Hirundo rustica savignii,Hirundo rustica transitiva,Hirundo rustica tytleri,Hirundo rustica gutturalis/mandschurica,Hirundo rustica erythrogaster
840134bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840153bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8407433ffffffff,9.0,1.0,0.0,0.0,0.0,0.0,0.0
840744bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8407457ffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0
840745dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8407467ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84074edffffffff,5.0,4.0,0.0,0.0,0.0,0.0,0.0
840755dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840758dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84075a9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d1ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84075ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407621ffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
8407623ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407635ffffffff,14.0,8.0,0.0,0.0,0.0,0.0,0.0
8407731ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407733ffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0
8407739ffffffff,6.0,2.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
84089a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840982bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8409a4dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c143ffffffff,26.0,5.0,0.0,0.0,0.0,0.0,2.0
840c145ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,4.0
840c147ffffffff,21.0,0.0,0.0,0.0,0.0,0.0,10.0
840c14bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
840c309ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c451ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c50bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c51dffffffff,20.0,0.0,0.0,0.0,0.0,0.0,1.0
840c5a1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a5ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5a7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c5adffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
840c63dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840c711ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c733ffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
840ca43ffffffff,8.0,2.0,0.0,0.0,0.0,0.0,0.0
840d013ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840d039ffffffff,142.0,17.0,0.0,0.0,0.0,4.0,9.0
840d093ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840d09bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,1.0
840d0b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840d0c3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0
840d747ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840d761ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840e491ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840e805ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
84122e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412511ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8412515ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,9.0
8412597ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412891ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8412893ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,2.0
8412895ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84128e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8412b01ffffffff,17.0,0.0,0.0,0.0,0.0,0.0,4.0
8412b03ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412b49ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c01ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8412c03ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c05ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8412c07ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8412c17ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c21ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412c97ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8412cc1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ccdffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412ce5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d11ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d17ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8412d19ffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
