cell_id,Gracula religiosa,Gracula religiosa [religiosa Group],Gracula religiosa miotera,Gracula religiosa robusta,Gracula religiosa enganensis
833c06fffffffff,2.0,0.0,0.0,0.0,0.0
833c0afffffffff,121.0,0.0,0.0,0.0,0.0
833c15fffffffff,44.0,2.0,0.0,0.0,0.0
833c18fffffffff,6.0,0.0,0.0,0.0,0.0
833c19fffffffff,733.0,0.0,0.0,0.0,0.0
833c1cfffffffff,23.0,0.0,0.0,0.0,0.0
833c1dfffffffff,155.0,0.0,0.0,0.0,0.0
833c33fffffffff,8.0,0.0,0.0,0.0,0.0
833c52fffffffff,34.0,0.0,0.0,0.0,0.0
833c53fffffffff,2.0,0.0,0.0,0.0,0.0
833c58fffffffff,44.0,0.0,0.0,0.0,0.0
833c5afffffffff,533.0,0.0,0.0,0.0,0.0
833c5bfffffffff,154.0,0.0,0.0,0.0,0.0
833c82fffffffff,1.0,0.0,0.0,0.0,0.0
833c83fffffffff,42.0,0.0,0.0,0.0,0.0
833c90fffffffff,86.0,0.0,0.0,0.0,0.0
833c91fffffffff,2.0,0.0,0.0,0.0,0.0
833c92fffffffff,5.0,0.0,0.0,0.0,0.0
833c94fffffffff,50.0,0.0,0.0,0.0,0.0
833c96fffffffff,1.0,0.0,0.0,0.0,0.0
833cc0fffffffff,86.0,0.0,0.0,0.0,0.0
833cc2fffffffff,19.0,0.0,0.0,0.0,0.0
833cc4fffffffff,280.0,0.0,0.0,0.0,0.0
833cc5fffffffff,243.0,0.0,0.0,0.0,0.0
833cc6fffffffff,78.0,0.0,0.0,0.0,0.0
833cc8fffffffff,5.0,0.0,0.0,0.0,0.0
833cccfffffffff,12.0,0.0,0.0,0.0,0.0
833ccdfffffffff,2.0,0.0,0.0,0.0,0.0
833cd1fffffffff,3.0,0.0,0.0,0.0,0.0
833cd8fffffffff,34.0,0.0,0.0,0.0,0.0
833cd9fffffffff,8.0,0.0,0.0,0.0,0.0
833cdbfffffffff,5.0,0.0,0.0,0.0,0.0
833cdcfffffffff,4.0,0.0,0.0,0.0,0.0
833cddfffffffff,1.0,0.0,0.0,0.0,0.0
833ce0fffffffff,5.0,0.0,0.0,0.0,0.0
833ce1fffffffff,505.0,0.0,0.0,0.0,0.0
833ce2fffffffff,51.0,0.0,0.0,0.0,0.0
833ce3fffffffff,10.0,0.0,0.0,0.0,0.0
833ce4fffffffff,324.0,0.0,0.0,0.0,0.0
833ce5fffffffff,250.0,0.0,0.0,0.0,0.0
833ce6fffffffff,1.0,0.0,0.0,0.0,0.0
833ce8fffffffff,2.0,0.0,0.0,0.0,0.0
833cebfffffffff,4.0,0.0,0.0,0.0,0.0
833cecfffffffff,861.0,0.0,0.0,0.0,0.0
833cedfffffffff,61.0,0.0,0.0,0.0,0.0
833ceefffffffff,8.0,0.0,0.0,0.0,0.0
833cf2fffffffff,93.0,0.0,0.0,0.0,0.0
834049fffffffff,1.0,0.0,0.0,0.0,0.0
83404dfffffffff,52.0,1.0,0.0,0.0,0.0
834061fffffffff,1.0,0.0,0.0,0.0,0.0
83406bfffffffff,4.0,0.0,0.0,0.0,0.0
83411cfffffffff,2.0,0.0,0.0,0.0,0.0
83414cfffffffff,2.0,2.0,0.0,0.0,0.0
83414dfffffffff,1.0,0.0,0.0,0.0,0.0
83416bfffffffff,2.0,2.0,0.0,0.0,0.0
83416cfffffffff,2.0,0.0,0.0,0.0,0.0
83536efffffffff,3.0,0.0,0.0,0.0,0.0
83640afffffffff,389.0,0.0,0.0,0.0,0.0
83640bfffffffff,221.0,0.0,0.0,0.0,0.0
836412fffffffff,16.0,0.0,0.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0,0.0,0.0
836416fffffffff,2.0,0.0,0.0,0.0,0.0
836419fffffffff,11.0,0.0,0.0,0.0,0.0
83641bfffffffff,85.0,0.0,0.0,0.0,0.0
836428fffffffff,245.0,0.0,0.0,0.0,0.0
836429fffffffff,38.0,0.0,0.0,0.0,0.0
83642dfffffffff,16.0,0.0,0.0,0.0,0.0
836433fffffffff,2.0,0.0,0.0,0.0,0.0
836481fffffffff,1.0,0.0,0.0,0.0,0.0
83648afffffffff,2.0,0.0,0.0,0.0,0.0
83648bfffffffff,2.0,0.0,0.0,0.0,0.0
83648efffffffff,7.0,0.0,0.0,0.0,0.0
836498fffffffff,1.0,0.0,0.0,0.0,0.0
8364a1fffffffff,1.0,0.0,0.0,0.0,0.0
8364e4fffffffff,1022.0,0.0,0.0,0.0,0.0
8364e6fffffffff,231.0,0.0,0.0,0.0,0.0
836520fffffffff,356.0,0.0,0.0,0.0,0.0
836526fffffffff,755.0,0.0,0.0,0.0,0.0
836580fffffffff,4.0,0.0,0.0,0.0,0.0
836581fffffffff,10.0,0.0,0.0,0.0,0.0
836582fffffffff,22.0,0.0,0.0,0.0,0.0
836583fffffffff,14.0,0.0,0.0,0.0,0.0
836584fffffffff,1.0,0.0,0.0,0.0,0.0
836585fffffffff,61.0,0.0,0.0,0.0,0.0
836586fffffffff,4.0,0.0,0.0,0.0,0.0
836589fffffffff,1.0,0.0,0.0,0.0,0.0
836590fffffffff,5.0,0.0,0.0,0.0,0.0
836591fffffffff,307.0,0.0,0.0,0.0,0.0
836594fffffffff,5.0,0.0,0.0,0.0,0.0
836595fffffffff,19.0,0.0,0.0,0.0,0.0
83659cfffffffff,357.0,0.0,0.0,0.0,0.0
83659dfffffffff,1.0,0.0,0.0,0.0,0.0
8365aafffffffff,9.0,0.0,0.0,0.0,0.0
8365b2fffffffff,11.0,0.0,0.0,0.0,0.0
8365b3fffffffff,100.0,0.0,0.0,0.0,0.0
